total_qty_of_skills,skill_bivariate_distance,skills_shared_by_all,average_qty_skills,count_skill_Troubleshooting,count_skill_Coding,count_skill_Fiberoptics,count_skill_Monitoring,count_skill_Cybersecurity,count_skill_Integration,count_skill_Switching,count_skill_Routing,count_skill_Network,rota_average_bivariate_distance,diff_Monday_Monitoring,diff_Tuesday_Monitoring,diff_Wednesday_Monitoring,diff_Thursday_Monitoring,diff_Friday_Monitoring,diff_Saturday_Monitoring,diff_Sunday_Monitoring,diff_Monday_Cybersecurity,diff_Tuesday_Cybersecurity,diff_Wednesday_Cybersecurity,diff_Thursday_Cybersecurity,diff_Friday_Cybersecurity,diff_Saturday_Cybersecurity,diff_Sunday_Cybersecurity,diff_Monday_Integration,diff_Tuesday_Integration,diff_Wednesday_Integration,diff_Thursday_Integration,diff_Friday_Integration,diff_Saturday_Integration,diff_Sunday_Integration,diff_Monday_Switching,diff_Tuesday_Switching,diff_Wednesday_Switching,diff_Thursday_Switching,diff_Friday_Switching,diff_Saturday_Switching,diff_Sunday_Switching,diff_Monday_Troubleshooting,diff_Tuesday_Troubleshooting,diff_Wednesday_Troubleshooting,diff_Thursday_Troubleshooting,diff_Friday_Troubleshooting,diff_Saturday_Troubleshooting,diff_Sunday_Troubleshooting,diff_Monday_Coding,diff_Tuesday_Coding,diff_Wednesday_Coding,diff_Thursday_Coding,diff_Friday_Coding,diff_Saturday_Coding,diff_Sunday_Coding,diff_Monday_Network,diff_Tuesday_Network,diff_Wednesday_Network,diff_Thursday_Network,diff_Friday_Network,diff_Saturday_Network,diff_Sunday_Network,diff_Monday_Fiberoptics,diff_Tuesday_Fiberoptics,diff_Wednesday_Fiberoptics,diff_Thursday_Fiberoptics,diff_Friday_Fiberoptics,diff_Saturday_Fiberoptics,diff_Sunday_Fiberoptics,diff_Monday_Routing,diff_Tuesday_Routing,diff_Wednesday_Routing,diff_Thursday_Routing,diff_Friday_Routing,diff_Saturday_Routing,diff_Sunday_Routing,control,size
4.0,2.6666666666666665,9.0,1.3333333333333333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.6666666666666665,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.6666666666666665,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3
6.0,4.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,3
3.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.6666666666666665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,3
3.0,2.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,3
5.0,3.3333333333333335,9.0,1.6666666666666667,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,3
4.0,2.6666666666666665,9.0,1.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,3
2.0,1.3333333333333333,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,5.333333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
4.0,2.6666666666666665,9.0,1.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.333333333333333,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,3
3.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,True,3
3.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,3
3.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,2.0,0.0,2.0,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3
2.0,1.3333333333333333,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,True,3
5.0,3.3333333333333335,9.0,1.6666666666666667,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
4.0,2.6666666666666665,9.0,1.3333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,3
3.0,2.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,3
4.0,2.6666666666666665,9.0,1.6666666666666667,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.6666666666666665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,2.0,0.0,2.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
2.0,0.6666666666666666,9.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.3333333333333333,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,3
5.0,3.3333333333333335,9.0,1.6666666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.6666666666666665,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,3
6.0,4.0,9.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.6666666666666665,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,3
4.0,2.6666666666666665,9.0,1.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,3
4.0,2.6666666666666665,9.0,1.6666666666666667,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.6666666666666665,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,3
2.0,1.3333333333333333,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,3
4.0,2.6666666666666665,9.0,1.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,3
3.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,3
5.0,3.3333333333333335,9.0,1.6666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,3
3.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.6666666666666665,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,3
5.0,3.3333333333333335,9.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,3
3.0,2.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,True,3
5.0,3.3333333333333335,9.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,5.333333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
5.0,3.3333333333333335,9.0,1.6666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,3
4.0,2.6666666666666665,9.0,1.6666666666666667,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
5.0,3.3333333333333335,9.0,1.6666666666666667,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.6666666666666665,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,3
4.0,2.6666666666666665,9.0,1.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,3
5.0,3.3333333333333335,9.0,1.6666666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,3
4.0,2.6666666666666665,9.0,1.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.6666666666666665,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,3
4.0,2.6666666666666665,9.0,1.6666666666666667,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,5.333333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3
3.0,2.0,9.0,1.3333333333333333,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,3
3.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,3
4.0,2.6666666666666665,9.0,1.6666666666666667,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,3
