total_qty_of_skills,skill_bivariate_distance,skills_shared_by_all,average_qty_skills,count_skill_Maintenance,count_skill_Automation,count_skill_Implementation,count_skill_Communication,count_skill_Configuration,count_skill_Negotiation,count_skill_Optimization,count_skill_Documentation,count_skill_Diagnostics,rota_average_bivariate_distance,diff_Monday_Implementation,diff_Tuesday_Implementation,diff_Wednesday_Implementation,diff_Thursday_Implementation,diff_Friday_Implementation,diff_Saturday_Implementation,diff_Sunday_Implementation,diff_Monday_Communication,diff_Tuesday_Communication,diff_Wednesday_Communication,diff_Thursday_Communication,diff_Friday_Communication,diff_Saturday_Communication,diff_Sunday_Communication,diff_Monday_Configuration,diff_Tuesday_Configuration,diff_Wednesday_Configuration,diff_Thursday_Configuration,diff_Friday_Configuration,diff_Saturday_Configuration,diff_Sunday_Configuration,diff_Monday_Negotiation,diff_Tuesday_Negotiation,diff_Wednesday_Negotiation,diff_Thursday_Negotiation,diff_Friday_Negotiation,diff_Saturday_Negotiation,diff_Sunday_Negotiation,diff_Monday_Documentation,diff_Tuesday_Documentation,diff_Wednesday_Documentation,diff_Thursday_Documentation,diff_Friday_Documentation,diff_Saturday_Documentation,diff_Sunday_Documentation,diff_Monday_Maintenance,diff_Tuesday_Maintenance,diff_Wednesday_Maintenance,diff_Thursday_Maintenance,diff_Friday_Maintenance,diff_Saturday_Maintenance,diff_Sunday_Maintenance,diff_Monday_Diagnostics,diff_Tuesday_Diagnostics,diff_Wednesday_Diagnostics,diff_Thursday_Diagnostics,diff_Friday_Diagnostics,diff_Saturday_Diagnostics,diff_Sunday_Diagnostics,diff_Monday_Automation,diff_Tuesday_Automation,diff_Wednesday_Automation,diff_Thursday_Automation,diff_Friday_Automation,diff_Saturday_Automation,diff_Sunday_Automation,diff_Monday_Optimization,diff_Tuesday_Optimization,diff_Wednesday_Optimization,diff_Thursday_Optimization,diff_Friday_Optimization,diff_Saturday_Optimization,diff_Sunday_Optimization,control,size
4.0,4.0,9.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,2
3.0,3.0,9.0,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,2
2.0,1.0,9.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,2
3.0,3.0,9.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
3.0,3.0,9.0,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,2
3.0,3.0,9.0,1.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
3.0,2.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
4.0,4.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
4.0,4.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,2
2.0,2.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
3.0,3.0,9.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,2
2.0,1.0,9.0,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
3.0,2.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
4.0,4.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,2
3.0,3.0,9.0,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
3.0,2.0,9.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,2
2.0,1.0,9.0,1.5,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
3.0,3.0,9.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,2.0,0.0,2.0,True,2
3.0,2.0,9.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
2.0,1.0,9.0,1.5,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2
3.0,3.0,9.0,1.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
2.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
2.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2
2.0,1.0,9.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,2
3.0,3.0,9.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True,2
2.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,True,2
